"Name","Year","Life.Expectancy.at.Birth..Both.Sexes","Life.Expectancy.at.Birth..Males","Life.Expectancy.at.Birth..Females","Under.Age.5.Mortality..Both.Sexes","Under.Age.5.Mortality..Males","Under.Age.5.Mortality..Females","Subregion","Region"
"Gibraltar",2004,76.5,74.8,78.2,10.4,10.6,10.3,"Southern Europe","Europe"
"Greece",2004,79.1,76.5,81.9,5,5.1,4.8,"Southern Europe","Europe"
"Greenland",2004,68.4,64.7,72.2,12.6,16.5,8.5,"Northern America","Americas"
"Grenada",2004,70.4,67.7,73,15.6,15.8,15.3,"Caribbean","Americas"
"Guam",2004,76.1,73.7,78.6,13.5,13.3,13.6,"Micronesia","Oceania"
"Guatemala",2004,67.9,66.3,69.7,50.7,54.3,46.9,"Central America","Americas"
"Guernsey",2004,80.4,78.3,82.7,5,5.5,4.6,"Northern Europe","Europe"
"Guinea",2004,53.4,52,54.9,142.2,149.2,135,"Western Africa","Africa"
"Guinea-Bissau",2004,52,50.1,53.9,149.9,161.7,137.8,"Western Africa","Africa"
"Guyana",2004,68.3,66.4,70.2,42.5,47.6,37.2,"South America","Americas"
"Haiti",2004,58.1,56.6,59.5,96.8,104.9,88.7,"Caribbean","Americas"
"Honduras",2004,69.4,65.6,73.3,30.7,33.8,27.5,"Central America","Americas"
"Hong Kong",2004,81.6,78.9,84.5,3.8,3.9,3.6,"Eastern Asia","Asia"
"Hungary",2004,72.7,68.7,77,7.7,8.6,6.9,"Eastern Europe","Europe"
"Iceland",2004,80.9,78.8,83.2,5,5.8,4.1,"Northern Europe","Europe"
"India",2004,64.7,63.3,66.3,76.3,72.7,80.3,"South-Central Asia","Asia"
"Indonesia",2004,67.5,65.8,69.3,47,51.7,42,"South-Eastern Asia","Asia"
"Iran",2004,69.4,68,70.8,63.9,62.6,65.2,"South-Central Asia","Asia"
"Iraq",2004,66.9,64,69.8,42.1,45.9,38.2,"Western Asia","Asia"
"Ireland",2004,78.4,76,81,5.4,5.7,5.1,"Northern Europe","Europe"
"Isle of Man",2004,79.3,77.1,81.6,6.4,7,5.6,"Northern Europe","Europe"
"Israel",2004,80.2,78,82.4,5.4,6,4.8,"Western Asia","Asia"
"Italy",2004,81,78.2,83.9,4.6,4.9,4.3,"Southern Europe","Europe"
"Jamaica",2004,71.5,69.6,73.4,22.3,25,19.5,"Caribbean","Americas"
"Japan",2004,82,78.7,85.6,3.8,4.1,3.5,"Eastern Asia","Asia"
"Jersey",2004,79.7,77.5,81.9,5.9,6.2,5.5,"Northern Europe","Europe"
"Jordan",2004,71,69.7,72.2,29.9,31.3,28.5,"Western Asia","Asia"
"Kazakhstan",2004,65.1,59.6,70.9,36.8,41.7,31.5,"South-Central Asia","Asia"
"Kenya",2004,56.6,56.5,56.7,85,90.3,79.6,"Eastern Africa","Africa"
"Kiribati",2004,61.8,59.6,64.1,64.4,66.2,62.6,"Micronesia","Oceania"
"Korea, North",2004,65.2,60.8,69.7,50.2,57.7,42.4,"Eastern Asia","Asia"
"Korea, South",2004,77.8,74.5,81.4,5.9,6.3,5.5,"Eastern Asia","Asia"
"Kosovo",2004,68.4,66.3,70.8,61.9,65.1,58.3,"Southern Europe","Europe"
"Kuwait",2004,75,73.7,76.4,13.3,13.7,12.9,"Western Asia","Asia"
"Kyrgyzstan",2004,67.6,63.4,72,45.4,51.2,39.3,"South-Central Asia","Asia"
"Laos",2004,59.3,57.5,61.1,101.6,109.3,93.6,"South-Eastern Asia","Asia"
"Latvia",2004,70.6,65.6,75.9,11.2,11.5,10.9,"Northern Europe","Europe"
"Lebanon",2004,74.8,73.6,76,15.2,15.9,14.4,"Western Asia","Asia"
"Lesotho",2004,46.6,45.9,47.4,117,126.1,107.7,"Southern Africa","Africa"
"Liberia",2004,52.2,50.9,53.5,147,155.9,137.9,"Western Africa","Africa"
"Libya",2004,NA,NA,NA,NA,NA,NA,"Northern Africa","Africa"
"Liechtenstein",2004,81,77.8,84.1,5.7,6.5,4.9,"Western Europe","Europe"
"Lithuania",2004,71.9,66.1,78,9.8,10.7,8.9,"Northern Europe","Europe"
"Luxembourg",2004,79.9,76.6,83.4,4.7,5.7,3.6,"Western Europe","Europe"
"Macau",2004,83.5,80.4,86.8,6.2,6.4,6,"Eastern Asia","Asia"
"Madagascar",2004,62.1,61.7,62.6,82.1,85.1,79.1,"Eastern Africa","Africa"
"Malawi",2004,61.9,58.9,65,119.2,136.3,101.7,"Eastern Africa","Africa"
"Malaysia",2004,74.1,72,76.3,8.3,9.3,7.3,"South-Eastern Asia","Asia"
"Maldives",2004,72.7,70.6,74.9,51,55.6,46.2,"South-Central Asia","Asia"
"Mali",2004,53.9,52.2,55.6,181.5,189.1,173.7,"Western Africa","Africa"
"Malta",2004,79.5,77.7,81.5,7.8,8.3,7.2,"Southern Europe","Europe"
"Marshall Islands",2004,69.6,67.6,71.6,40.7,45.7,35.6,"Micronesia","Oceania"
"Mauritania",2004,58.4,56.4,60.5,115.2,124.1,106,"Western Africa","Africa"
"Mauritius",2004,72.3,68.9,75.8,17.3,19.6,14.9,"Eastern Africa","Africa"
"Mexico",2004,73.8,71.2,76.4,23.3,25.3,21.1,"Central America","Americas"
"Micronesia, Federated States of",2004,69.3,67.6,71.2,41.2,45.3,37,"Micronesia","Oceania"
"Moldova",2004,67.9,64.2,71.9,18.9,20.7,16.9,"Eastern Europe","Europe"
"Monaco",2004,89.8,87,93.1,1.9,2.1,1.7,"Western Europe","Europe"
"Mongolia",2004,65.8,62.3,69.5,48,52.8,43,"Eastern Asia","Asia"
"Montenegro",2004,74.4,71.6,77.4,13,14.4,11.5,"Southern Europe","Europe"
"Montserrat",2004,73.1,75.1,71,17.8,13.1,22.7,"Caribbean","Americas"
"Morocco",2004,68,66.4,69.7,45.4,49.1,41.4,"Northern Africa","Africa"
"Mozambique",2004,46.3,45.5,47.1,182.7,182.6,182.9,"Eastern Africa","Africa"
"Namibia",2004,52.7,52.7,52.7,91.7,96.3,87.1,"Southern Africa","Africa"
"Nauru",2004,62,58.5,65.5,14.2,18.6,9.6,"Micronesia","Oceania"
"Nepal",2004,64.1,63.2,65.1,67.9,68.3,67.5,"South-Central Asia","Asia"
"Netherlands",2004,79.1,76.9,81.5,5.3,5.9,4.6,"Western Europe","Europe"
"New Caledonia",2004,75.3,72.2,78.6,11.9,15.7,7.9,"Melanesia","Oceania"
